Designator,Mid X,Mid Y,Layer,Rotation
J1,12.369mm,29.145mm,Top,0
J2,13.501mm,6.846mm,Top,0
J3,2.790mm,27.712mm,Top,0
J4,21.586mm,10.392mm,Top,0
