Comment,Designator,Footprint,LCSC
,"J4",PinHeader_1x07_P2.54mm_Vertical,C2337
,"J3",PinHeader_1x09_P2.54mm_Vertical,C2337
,"J2",PinSocket_1x07_P1.27mm_Vertical,C59983
,"J1",PinSocket_1x09_P1.27mm_Vertical,C59983
